time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543543365345,10,2,45,0,1.2737153;-2.3175871;10.275913,0.19559905;-0.08328711;-2.5485122,-27.8125;10.75;-39.875,1021.76807,5.0,4800.0, , , , , 
1543543365356,10,2,45,0,1.1109096;-2.1164744;10.43872,0.22369885;-0.12971286;-2.5252995,-26.4375;10.75;-39.875,1021.76807,5.0,4800.0, , , , , 
1543543365367,10,2,45,0,0.8810662;-1.8483237;10.477027,0.23835962;-0.20790362;-2.4776518,-27.8125;9.25;-39.125,1021.76807,5.0,4800.0, , , , , 
1543543365376,10,2,45,0,0.7374141;-1.4556746;10.314221,0.23713788;-0.30197686;-2.4055698,-27.0625;7.75;-40.625,1021.76807,5.0,4800.0, , , , , 
1543543365386,10,2,45,0,1.0534488;-1.0055647;10.601525,0.22614232;-0.42903683;-2.328601,-27.0625;7.0;-39.875,1021.76807,5.0,4800.0, , , , , 
1543543365396,10,2,45,0,0.80445176;-1.3982137;9.3182335,0.1894904;-0.4436976;-2.2687361,-29.1875;6.3125;-41.375,1021.76807,5.0,4800.0, , , , , 
1543543365406,10,2,45,0,1.5227122;-1.091756;9.586384,0.16505578;-0.4595801;-2.241858,-29.1875;6.3125;-41.375,1021.76807,5.0,4800.0, , , , , 
1543543365417,10,2,45,0,1.8387469;-0.93852705;9.662998,0.056321774;-0.60130084;-2.2357492,-27.75;5.5625;-40.625,1021.76807,5.0,4800.0, , , , , 
1543543365427,10,2,45,0,1.7142484;-0.8810662;9.701305,0.020891592;-0.67338294;-2.2540753,-28.4375;4.8125;-39.875,1021.76807,5.0,4800.0, , , , , 
1543543365437,10,2,45,0,1.5610195;-0.30645782;9.720459,0.014782939;-0.7344695;-2.2528536,-29.75;2.625;-39.875,1021.7617,5.0,4564.0, , , , , 
1543543365446,10,2,45,0,1.532289;-0.009576807;9.5385,0.023335053;-0.7540171;-2.2430797,-28.375;2.5625;-39.875,1021.7617,5.0,4564.0, , , , , 
1543543365456,10,2,45,0,1.3024458;0.45010993;9.11712,0.022113321;-0.7356912;-2.2113147,-27.625;2.5625;-39.125,1021.7617,5.0,4564.0, , , , , 
1543543365466,10,2,45,0,1.1779473;0.7757214;9.011775,0.031887166;-0.6843785;-2.1587803,-31.1875;2.625;-37.625,1021.7617,5.0,4564.0, , , , , 
1543543365476,10,2,45,0,0.9768343;1.3024458;8.944737,0.05021312;-0.63795274;-2.0928068,-29.0;-0.4375;-37.625,1021.7617,5.0,4564.0, , , , , 
1543543365486,10,2,45,0,0.8714894;1.5514427;8.820239,0.052656583;-0.60374427;-2.015838,-30.4375;0.375;-39.125,1021.7617,5.0,4564.0, , , , , 
1543543365497,10,2,45,0,0.842759;1.9440918;8.619126,0.014782939;-0.58297485;-1.9205428,-29.6875;-0.375;-37.625,1021.7617,5.0,4564.0, , , , , 
1543543365506,10,2,45,0,0.7565677;2.087744;8.465898,-0.057281706;-0.5756445;-1.8350217,-29.625;-2.625;-36.875,1021.7617,5.0,4564.0, , , , , 
1543543365516,10,2,45,0,0.80445176;2.231396;8.37013,-0.14646803;-0.57075757;-1.7543875,-31.0625;-3.375;-36.875,1021.7617,5.0,4564.0, , , , , 
1543543365530,10,2,45,0,0.9959879;2.2601264;8.542512,-0.22832397;-0.54998815;-1.6896358,-31.0625;-2.625;-36.875,1021.77,5.0,4564.0, , , , , 
1543543365540,10,2,45,0,1.1204864;2.1547816;8.868123,-0.31262338;-0.49012336;-1.6273276,-29.5625;-5.625;-38.375,1021.77,5.0,4564.0, , , , , 
1543543365550,10,2,45,0,1.1300632;2.0015526;9.165004,-0.31995377;-0.43270203;-1.5992278,-31.0625;-3.375;-36.875,1021.77,5.0,4564.0, , , , , 
1543543365560,10,2,45,0,1.0247183;1.7812861;9.586384,-0.27963665;-0.35817647;-1.5674627,-30.3125;-5.625;-36.875,1021.77,5.0,4564.0, , , , , 
1543543365570,10,2,45,0,0.94810385;1.7525556;9.710882,-0.25153685;-0.32274628;-1.5552454,-30.25;-5.625;-36.125,1021.77,5.0,4564.0, , , , , 
1543543365581,10,2,45,0,0.7469909;1.6472107;9.864111,-0.15502015;-0.20912535;-1.5173718,-30.25;-5.625;-35.375,1021.77,5.0,4564.0,16 1;2;41.34329605102539;false;NaN;0;299.47651287113035 1;5;23.729759216308594;false;NaN;0;141.8218134910283 1;6;18.05461883544922;false;NaN;0;593.8888498573624 1;7;25.87485694885254;false;NaN;0;84.36461137302126 1;13;37.38866424560547;false;NaN;0;-375.0982924969203 1;15;28.42347526550293;false;NaN;0;-677.4474452160757 1;21;12.210601806640625;false;NaN;0;-582.2052474315169 1;29;34.26759338378906;false;NaN;0;-33.36106298774152 1;30;25.64963150024414;false;NaN;0;-216.25030666965574 3;2;31.10482406616211;false;NaN;0;568.0468837550936 3;18;31.50301742553711;false;NaN;0;16.602834143766415 3;19;29.82759666442871;false;NaN;0;-677.1808522411543 3;3;37.45170211791992;false;NaN;0;42.20416106175588 3;4;31.09897804260254;false;NaN;0;-549.2042272541753 4;194;22.219486236572266;false;NaN;0;-122.54483572602567 4;195;14.027641296386719;false;NaN;0;38.43000189593889,16 3;18;32.0;80.0;248.0 3;3;37.0;71.0;323.0 1;5;24.0;67.0;29.0 1;13;37.0;62.0;169.0 1;2;42.0;51.0;126.0 1;29;34.0;48.0;276.0 3;19;33.0;34.0;327.0 1;15;28.0;32.0;212.0 3;2;31.0;31.0;38.0 3;4;31.0;30.0;247.0 4;195;14.0;23.0;173.0 1;30;26.0;20.0;80.0 1;7;28.0;12.0;49.0 1;21;12.0;9.0;309.0 1;6;18.0;8.0;125.0 4;194;22.0;7.0;145.0,$GPGSA;1.9;1.1;1.5 $GNGSA;1.9;1.1;1.5 $GNGSA;1.9;1.1;1.5 $QZGSA;1.9;1.1;1.5 $IMGSA;1.9;1.1;1.5 $BDGSA;1.9;1.1;1.5 $GAGSA;1.9;1.1;1.5 , , 
1543543365592,10,2,45,0,0.6607997;1.6950948;9.940725,-0.100042276;-0.16147786;-1.4856068,-30.3125;-4.875;-36.125,1021.77,5.0,4564.0, , , , , 
1543543365606,10,2,45,0,0.62249243;1.733402;9.959879,-0.08049458;-0.1468171;-1.4746113,-30.3125;-4.875;-36.125,1021.77,5.0,4564.0, , , , , 
1543543365615,10,2,45,0,0.59376204;1.7621324;9.595961,0.07586946;-0.0099832835;-1.3695424,-30.3125;-5.625;-36.875,1021.77,5.0,4564.0, , , , , 
1543543365625,10,2,45,0,0.5746084;1.7812861;9.461885,0.084421575;0.016877335;-1.3512164,-28.8125;-7.125;-37.5625,1021.77,5.0,4564.0, , , , , 
1543543365636,10,2,45,0,0.58418524;1.7621324;9.404425,0.09419542;0.090181164;-1.2889082,-29.5;-8.625;-36.875,1021.7798,5.0,4564.0, , , , , 
1543543365647,10,2,45,0,0.5746084;1.6950948;9.452309,0.10641272;0.13905038;-1.2583649,-29.5;-8.625;-35.375,1021.7798,5.0,4564.0, , , , , 
1543543365656,10,2,45,0,0.5746084;1.6663644;9.5385,0.1296256;0.19891517;-1.235152,-29.5;-8.625;-35.375,1021.7798,5.0,4564.0, , , , , 
1543543365666,10,2,45,0,0.4213795;1.7621324;9.720459,0.17849483;0.26122344;-1.208274,-28.75;-11.5625;-35.375,1021.7798,5.0,4564.0, , , , , 
1543543365676,10,2,45,0,0.1436521;1.9536686;9.873688,0.25546384;0.3235317;-1.16307,-29.5;-8.625;-36.875,1021.7798,5.0,4564.0, , , , , 
1543543365687,10,2,45,0,-0.12449849;2.1164744;9.844957,0.354424;0.38950512;-1.0897661,-29.5;-8.625;-35.375,1021.7798,5.0,4564.0, , , , , 
1543543365696,10,2,45,0,-0.2873042;2.231396;9.662998,0.38741073;0.4005007;-1.0066885,-28.0;-11.5625;-36.8125,1021.7798,5.0,4564.0, , , , , 
1543543365706,10,2,45,0,-0.35434186;2.327164;9.442732,0.3703065;0.39317033;-0.9187239,-29.5;-10.0625;-38.3125,1021.7798,5.0,4564.0, , , , , 
1543543365716,10,2,45,0,-0.33518824;2.4708161;9.299079,0.33487633;0.37484437;-0.831981,-28.0625;-10.8125;-36.0625,1021.7798,5.0,4564.0, , , , , 
1543543365727,10,2,45,0,-0.17238252;2.4899697;9.260772,0.2860071;0.3443011;-0.73057735,-27.3125;-12.3125;-38.3125,1021.76855,5.0,4564.0, , , , , 
1543543365737,10,2,45,0,-0.076614454;2.4612393;9.260772,0.25912905;0.3284186;-0.6633822,-27.3125;-11.625;-35.3125,1021.76855,5.0,4564.0, , , , , 
1543543365747,10,2,45,0,0.0;2.4995465;9.174581,0.24813347;0.33697072;-0.6010739,-28.6875;-12.3125;-36.8125,1021.76855,5.0,4564.0, , , , , 
1543543365758,10,2,45,0,0.18195933;2.5570073;9.040505,0.24569;0.38583994;-0.5082224,-25.875;-12.375;-36.8125,1021.76855,5.0,4564.0, , , , , 
1543543365768,10,2,45,0,0.21068975;2.585738;8.983045,0.23835962;0.40172243;-0.48500955,-25.875;-13.125;-37.5625,1021.76855,5.0,4564.0, , , , , 
1543543365778,10,2,45,0,0.23942018;2.7006595;8.8777,0.17116444;0.40783107;-0.410484,-27.3125;-11.5625;-36.0625,1021.76855,5.0,4564.0, , , , , 
1543543365788,10,2,45,0,0.18195933;2.96881;8.580819,0.027000243;0.36995745;-0.3432888,-27.25;-13.8125;-38.3125,1021.76855,5.0,4542.0, , , , , 
