time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543544173711,10,16,13,0,-3.466804;1.2641385;8.236053,-0.96624917;0.03275983;0.6695083,49.9375;6.625;-26.0625,1021.6294,5.0,5715.0, , , , , 
1543544173721,10,16,13,0,-3.4572272;1.2737153;8.504205,-1.039553;0.047420595;0.6951646,49.9375;6.625;-26.0625,1021.6294,5.0,5715.0, , , , , 
1543544173732,10,16,13,0,-3.3423057;1.2066777;8.992621,-1.1104134;0.048642326;0.73914695,49.25;5.875;-25.3125,1021.63916,5.0,5715.0, , , , , 
1543544173742,10,16,13,0,-3.3039982;1.13964;9.241618,-1.1898433;0.021764256;0.78923786,49.9375;6.625;-26.8125,1021.63916,5.0,5715.0, , , , , 
1543544173751,10,16,13,0,-3.3997664;1.091756;9.586384,-1.2313821;-0.003874631;0.8173377,49.9375;6.625;-26.8125,1021.63916,5.0,5715.0, , , , , 
1543544173761,10,16,13,0,-3.4476504;1.0726024;9.768343,-1.2435994;-0.034417894;0.84421575,51.3125;7.3125;-25.3125,1021.63916,5.0,5715.0, , , , , 
1543544173772,10,16,13,0,-3.5338416;1.0534488;9.864111,-1.2203866;-0.05152212;0.87598073,49.1875;7.375;-24.5625,1021.63916,5.0,5715.0, , , , , 
1543544173781,10,16,13,0,-3.5817258;1.043872;9.902418,-1.1580783;-0.028309241;0.91751957,50.625;7.375;-23.8125,1021.63916,5.0,5715.0, , , , , 
1543544173791,10,16,13,0,-3.4859576;1.0151415;10.0269165,-1.0346661;0.05475098;0.9798278,50.625;7.375;-23.8125,1021.63916,5.0,5715.0, , , , , 
1543544173801,10,16,13,0,-3.3614593;0.9864111;10.237606,-0.9063844;0.13171999;1.0115929,49.1875;6.625;-23.8125,1021.63916,5.0,5715.0, , , , , 
1543544173812,10,16,13,0,-3.2369606;1.0534488;11.013328,-0.74511594;0.1476025;1.0348057,50.625;5.125;-25.3125,1021.63916,5.0,5715.0, , , , , 
1543544173822,10,16,13,0,-3.0933087;0.90979666;11.166556,-0.52398276;0.13782865;1.0641272,49.25;5.875;-23.8125,1021.63916,5.0,5715.0, , , , , 
1543544173831,10,16,13,0,-2.920926;0.7757214;11.530476,-0.36637953;0.12927654;0.9969321,49.25;5.875;-23.8125,1021.63525,5.0,5715.0, , , , , 
1543544173841,10,16,13,0,-2.825158;0.80445176;11.769896,-0.21977186;0.091402896;0.87964594,50.6875;3.625;-23.0625,1021.63525,5.0,5715.0, , , , , 
1543544173851,10,16,13,0,-2.9592333;0.9768343;11.348516,-0.090268426;0.047420595;0.77213365,49.9375;5.125;-23.8125,1021.63525,5.0,5715.0, , , , , 
1543544173861,10,16,13,0,-3.1986535;1.1204864;10.869676,0.014782939;0.08529424;0.70249504,50.0;2.125;-24.5625,1021.63525,5.0,5715.0, , , , , 
1543544173871,10,16,13,0,-3.2273839;1.2737153;10.601525,0.10274753;0.1879196;0.68661255,52.125;2.8125;-23.8125,1021.63525,5.0,5715.0, , , , , 
1543544173881,10,16,13,0,-3.122039;1.3982137;10.620679,0.16383405;0.22945844;0.7147123,52.125;2.8125;-23.8125,1021.63525,5.0,5715.0, , , , , 
1543544173892,10,16,13,0,-2.8634653;1.5514427;10.448297,0.1772731;0.17936748;0.7257079,52.125;2.0625;-23.0625,1021.63525,5.0,5715.0, , , , , 
1543544173902,10,16,13,0,-2.566584;1.7142484;10.25676,0.19437732;0.09628981;0.625526,51.4375;1.375;-23.0625,1021.63525,5.0,5715.0, , , , , 
1543544173912,10,16,13,0,-2.3080103;1.7046716;10.323798,0.20048597;0.07796386;0.59986967,49.3125;2.125;-22.3125,1021.63525,5.0,5715.0, , , , , 
1543544173923,10,16,13,0,-2.2984335;1.7429788;10.419566,0.22369885;-0.02708751;0.49235737,51.4375;1.375;-24.5625,1021.63525,5.0,5715.0, , , , , 
1543544173932,10,16,13,0,-2.3463178;1.7908629;10.429143,0.25424212;-0.19446458;0.3726278,50.8125;-0.125;-21.5625,1021.646,5.0,5715.0, , , , , 
1543544173943,10,16,13,0,-2.432509;1.8962077;10.91756,0.3373198;-0.3997153;0.28832838,50.75;0.625;-23.0625,1021.646,5.0,5715.0, , , , , 
1543544173952,10,16,13,0,-2.336741;1.6950948;10.25676,0.46437976;-0.47057566;0.28832838,49.375;0.625;-22.3125,1021.646,5.0,5715.0, , , , , 
1543544173963,10,16,13,0,-2.0207062;1.4173675;10.160992,0.5511226;-0.48523644;0.21624629,50.75;0.625;-24.5625,1021.646,5.0,5715.0, , , , , 
1543544173973,10,16,13,0,-1.8291701;1.4460979;9.998186,0.621983;-0.5035624;0.14660765,50.0625;1.375;-23.0625,1021.646,5.0,5715.0, , , , , 
1543544173984,10,16,13,0,-1.7046716;1.4269443;9.768343,0.66596526;-0.5243318;0.07819075,50.0625;1.375;-24.5625,1021.646,5.0,5715.0, , , , , 
1543544173994,10,16,13,0,-1.6567876;1.4077905;9.615114,0.6745174;-0.541436;0.039095376,50.8125;-0.125;-23.8125,1021.646,5.0,5715.0, , , , , 
1543544174004,10,16,14,0,-1.7046716;1.3694834;9.471462,0.6244264;-0.6269572;-0.1343729,50.0625;0.625;-23.8125,1021.646,5.0,5610.0, , , , , 
1543544174015,10,16,14,0,-1.8004397;1.2641385;9.308656,0.5499009;-0.6721612;-0.23577653,50.75;-0.125;-26.0625,1021.646,5.0,5610.0, , , , , 
1543544174024,10,16,14,0,-1.9153614;1.0821792;9.212888,0.43872342;-0.72591734;-0.33351496,50.0625;-0.125;-25.3125,1021.646,5.0,5610.0, , , , , 
1543544174034,10,16,14,0,-2.3080103;0.9864111;8.973468,0.3104417;-0.74668676;-0.41292745,49.375;-0.0625;-25.3125,1021.6509,5.0,5610.0, , , , , 
1543544174045,10,16,14,0,-2.7485435;1.1492168;8.714894,0.18460347;-0.6819351;-0.3860494,50.0625;-0.125;-26.8125,1021.6509,5.0,5610.0, , , , , 
1543544174055,10,16,14,0,-3.1316159;1.0247183;8.255207,0.030665435;-0.4424759;-0.18935077,48.625;-0.0625;-26.0625,1021.6509,5.0,5610.0, , , , , 
